URN (do not edit)	SOURCE Slot (do not edit)	Data Type	Permitted Value	MDR Path (do not edit)	Matching Input (can be edited)
urn:ccdg:dataelement:13:2		INTEGER		Radiation therapy / Date of end of radiation therapy = INTEGER	Radiation therapy / Date of end of radiation therapy = INTEGER
urn:ccdg:dataelement:12:4		INTEGER		Radiation therapy / Date of start of radiation therapy = INTEGER	Radiation therapy / Date of start of radiation therapy = INTEGER
urn:ccdg:dataelement:88:1		ENUMERATED	Colonoscopy diagnostic exam - Positive	Diagnostic exam / Colonoscopy = Positive	Diagnostic exam / Colonoscopy = Positive
urn:ccdg:dataelement:88:1		ENUMERATED	Colonoscopy diagnostic exam - Negative	Diagnostic exam / Colonoscopy = Negative	Diagnostic exam / Colonoscopy = Negative
urn:ccdg:dataelement:88:1		ENUMERATED	Colonoscopy diagnostic exam- Not done	Diagnostic exam / Colonoscopy = Not done	Diagnostic exam / Colonoscopy = Not done
urn:ccdg:dataelement:88:1		ENUMERATED	Colonoscopy diagnostic exam- Unknown	Diagnostic exam / Colonoscopy = Unknown	Diagnostic exam / Colonoscopy = Unknown
urn:ccdg:dataelement:31:3		ENUMERATED	CT- Not done	Diagnostic exam / CT = Not done	Diagnostic exam / CT = Not done
urn:ccdg:dataelement:31:3		ENUMERATED	CT - Done, data available	Diagnostic exam / CT = Done, data available	Diagnostic exam / CT = Done, data available
urn:ccdg:dataelement:31:3		ENUMERATED	CT - Done, data not available	Diagnostic exam / CT = Done, data not available	Diagnostic exam / CT = Done, data not available
urn:ccdg:dataelement:31:3		ENUMERATED	CT - Unknown	Diagnostic exam / CT = Unknown	Diagnostic exam / CT = Unknown
urn:ccdg:dataelement:61:5		ENUMERATED	Liver imaging - Unknown	Diagnostic exam / Liver imaging = Unknown	Diagnostic exam / Liver imaging = Unknown
urn:ccdg:dataelement:61:5		ENUMERATED	Liver imaging - Done, data not available	Diagnostic exam / Liver imaging = Done, data not available	Diagnostic exam / Liver imaging = Done, data not available
urn:ccdg:dataelement:61:5		ENUMERATED	Liver imaging - Done, data available	Diagnostic exam / Liver imaging = Done, data available	Diagnostic exam / Liver imaging = Done, data available
