FALSE; FALSE neg
No; No neg
Not; Not neg
TRUE; TRUE pos
Yes; Yes pos
CT; Computer Tomography
MRI; Magnetic Resonance Imaging
FFPE; Formalin-Fixed Formaldehyde-Fixed Paraffin-Embedded Tissue
CNS; Central Nervous System Brain Nerves
Hepatic; Hepatic Liver
Osseous; Bone Skeleton
Pulmonary; Lung
Sex; Gender
MSI; Microsatellite Instability
umol; Moles
mmol; Moles
pmol; Moles
ml; Volume
dl; Volume
l; Volume
ul; Volume
pg; Mass
ng; Mass
ug; Mass
g; Mass
mg; Mass
kg; Mass
uE; Units
IE; Units
kU; Units
E; Units
mE; Units
mIU; Units
mU; Units
uU; Units
U; Units


######; Synonyms below taken from http://laboratoryalliance.com/healthcare-providers/laboratory-services/test-abbreviations/

A1A; Alpha-1 Antitrypsin
A1c; Hemoglobin A1c
AB; Antibody
ABG; Arterial Blood Gas
ABRH; ABO Group and Rh Type
ABT; Antibody Titer
ACA; Anti-Cardiolipin Antibodies
ACE; Angiotensin Converting Enzyme
ACID PHOS; Acid Phosphatase
ACP; Acid Phosphatase
ACT; Activated Clotting Time
ACTH; Adrenocorticotropic Hormone
ADA; Adenosine Deaminase
AFB; Acid-Fast Bacillus
AFP; Alpha Fetoprotein
AG; Antigen
ALA; Aminolevulinic Acid
Alb; Albumin
Alk Phos; Alkaline Phosphatase
ALP; Alkaline Phosphatase
ANA; Antinuclear Antibody
Anti-HBc; Hepatitis B Core Antibody
Anti-HBe; Hepatitis Be Antibody
Anti-HBs; Hepatitis B Surface Antibody
Anti-HCV; Hepatitis C Antibody
APT; Stool for Fetal Hemoglobin
aPTT; Activated Partial Thrombin Time
ASN; Antibody Screen
ASO; Antistreptolysin-O
ASP; Aspirin Resistance
AT III; Antithrombin-III Activity
B12; Vitamin B12
BMP; Basic Metabolic Panel
BNP; Brain Natriuretic Peptide
BUN; Blood Urea Nitrogen
C1; Complement C1, Functional
C1Q; C1Q Binding Assay
C2; Complement C2
C3; Complement C3
C4;  Complement C4
Ca; Calcium
CBC; Complete Blood Count
CBCD; Complete Blood Count with Differential
CEA; Carcinoembryonic Antigen
CH50; Complement Immunoassay, Total
CK; Creatine Kinase
Cl; Chloride
CMB; CKMB Panel
CMP; Comprehensive Metabolic Panel
CMV; Cytomegalovirus
CMV Ag; CMV Antigenemia
CO; Carbon Monoxide
CO2; Carbon Dioxide
COHB; Carboxyhemoglobin
CONABO; Confirmatory Type
CPK; Creatine Phosphokinase (Creatine Kinase)
Cr; Creatinine
CRCL, CrCl; Creatinine Clearance
CRD; Cord Type and DAT
CREAT; Creatinine
CRP; C-Reactive Protein
Cu; Copper
D Bil; Direct Bilirubin
DAT; Direct Antiglobulin (Coombs) Test
DCAS; DAT and AB Screen
DHEA; Dehydroepiandrosterone
DHEAS; Dehydroepiandrosterone-Sulfate
DIFM; Differential
Dig; Digoxin
EOS; Eosinophils
EPO; Erythropoietin
ERA; Estrogen Receptor Assay
ESR; Erythrocyte Sedimentation Rate
ETOH; Ethanol
FBS; Fasting Blood Sugar (Glucose)
Fe; Total Iron
FEP; Free Erythrocyte Protoporphyrin
FFN; Fetal Fibronectin
FFQ; Fecal Fat
Fol; Folate
FSH/LH; FSH/LH Evaluation
FT3; Free T3
FT4; Free Thyroxine
G2PP; 2 Hour Postprandial Glucose
G-6-PD; Glucose-6-Phosphate Dehydrogenase
Gamma GT; Gamma Glutamyl Transferase
GCT; Glucose Challenge Test
GDS; Gestational Diabetes Screen
GGT; Gamma Glutamyl Transferase
GH; Growth Hormone
Glu; Glucose
H&H; Hemoglobin and Hematocrit
H/H; Hemoglobin and Hematocrit
Hapto; Haptoglobin
HbA1c; Hemoglobin A1c
HBeAb; Hepatitis Be Virus Antibody
HBeAg; Hepatitis Be Virus Antigen 
HBsAb; Hepatitis B Surface Antibody
HBsAg; Hepatitis B Surface Antigen
hCG; Human Chorionic Gonadotropin Urine Pregnancy Test
HCT; Hematocrit
HDL; High Density Lipoprotein
HFP; Hepatic Function Panel
HGB; Hemoglobin
HgbA1c; Hemoglobin A1c
HGH; Human Growth Hormone
HIAA; 5-Hydroxyindoleacetic Acid
HIV; Human Immunodeficiency Virus
HPV; Human Papilloma Virus
HSV; Herpes Simplex Virus
iCa; Ionized Calcium
IFE; Immunofixation Electrophoresis
IgA; Immunoglobulin A
IgE; Immunoglobulin E
IGF; Insulin-Like Growth Factor-I
IgG; Immunoglobulin G
IgM; Immunoglobulin M
INR; Prothrombin Time
Jo-1; Jo-1 Antibody
KB; Kleihauer-Betke
K; Potassium
Lact(o); Lactoferrin
LD; Lactate Dehydrogenase
LDH; Lactate Dehydrogenase
LFT; Liver Function Tests
